Year,113 Cause Name,Cause Name,State,Deaths,Population,Death Rate
2016,All Causes,All causes,AL,52466,4802982,0.010923630361305
2015,All Causes,All causes,AL,51909,4802982,0.010807660740765
2014,All Causes,All causes,AL,50215,4802982,0.010454963187453
2013,All Causes,All causes,AL,50189,4802982,0.010449549883801
2012,All Causes,All causes,AL,49301,4802982,0.010264664743695
2011,All Causes,All causes,AL,48681,4802982,0.010135578271999
2010,All Causes,All causes,AL,48038,4802982,0.010001703108611
2009,All Causes,All causes,AL,47470,4461130,0.010640801769955
2008,All Causes,All causes,AL,47707,4461130,0.010693927323346
2007,All Causes,All causes,AL,46696,4461130,0.010467303127235
2006,All Causes,All causes,AL,46977,4461130,0.010530291652563
2005,All Causes,All causes,AL,47090,4461130,0.010555621557767
2004,All Causes,All causes,AL,46121,4461130,0.010338412016686
2003,All Causes,All causes,AL,46716,4461130,0.010471786296297
2002,All Causes,All causes,AL,46069,4461130,0.010326755777124
2001,All Causes,All causes,AL,45316,4461130,0.010157964461919
2000,All Causes,All causes,AL,45062,4461130,0.010101028214825
1999,All Causes,All causes,AL,44806,4461130,0.010043643650824
2016,All Causes,All causes,AK,4494,721523,0.006228491676634
2015,All Causes,All causes,AK,4316,721523,0.005981791294248
2014,All Causes,All causes,AK,4128,721523,0.005721231339819
2013,All Causes,All causes,AK,3997,721523,0.005539670946041
2012,All Causes,All causes,AK,3912,721523,0.005421864583665
2011,All Causes,All causes,AK,3849,721523,0.005334549279787
2010,All Causes,All causes,AK,3728,721523,0.005166848458053
2009,All Causes,All causes,AK,3618,628933,0.005752600038478
2008,All Causes,All causes,AK,3494,628933,0.005555440722621
2007,All Causes,All causes,AK,3463,628933,0.005506150893656
2006,All Causes,All causes,AK,3354,628933,0.00533284149504
2005,All Causes,All causes,AK,3168,628933,0.005037102521254
2004,All Causes,All causes,AK,3051,628933,0.004851073166776
2003,All Causes,All causes,AK,3180,628933,0.005056182455047
2002,All Causes,All causes,AK,3030,628933,0.004817683282639
2001,All Causes,All causes,AK,2974,628933,0.004728643591607
2000,All Causes,All causes,AK,2914,628933,0.004633243922644
1999,All Causes,All causes,AK,2708,628933,0.004305705059203
2016,All Causes,All causes,AZ,56645,6412700,0.008833252764046
2015,All Causes,All causes,AZ,54299,6412700,0.008467416220937
2014,All Causes,All causes,AZ,51538,6412700,0.008036864347311
2013,All Causes,All causes,AZ,50534,6412700,0.007880300029629
2012,All Causes,All causes,AZ,49549,6412700,0.0077266985825
2011,All Causes,All causes,AZ,48381,6412700,0.007544560013723
2010,All Causes,All causes,AZ,46762,6412700,0.007292092254433
2009,All Causes,All causes,AZ,45816,5140683,0.008912434398309
2008,All Causes,All causes,AZ,45823,5140683,0.008913796085073
2007,All Causes,All causes,AZ,45554,5140683,0.008861468407992
2006,All Causes,All causes,AZ,46365,5140683,0.009019229545957
2005,All Causes,All causes,AZ,45827,5140683,0.008914574191795
2004,All Causes,All causes,AZ,43198,5140683,0.008403163548501
2003,All Causes,All causes,AZ,43392,5140683,0.008440901724537
2002,All Causes,All causes,AZ,42816,5140683,0.008328854356513
2001,All Causes,All causes,AZ,41058,5140683,0.00798687645202
2000,All Causes,All causes,AZ,40500,5140683,0.007878330564246
1999,All Causes,All causes,AZ,40050,5140683,0.007790793557977
2016,All Causes,All causes,AR,31756,2926229,0.010852192360885
2015,All Causes,All causes,AR,31617,2926229,0.010804690952075
2014,All Causes,All causes,AR,30467,2926229,0.010411693684944
2013,All Causes,All causes,AR,30437,2926229,0.010401441582323
2012,All Causes,All causes,AR,30117,2926229,0.010292085821035
2011,All Causes,All causes,AR,29653,2926229,0.010133519967166
2010,All Causes,All causes,AR,28916,2926229,0.009881659979448
2009,All Causes,All causes,AR,28673,2679733,0.010699946599158
2008,All Causes,All causes,AR,29322,2679733,0.010942134906724
2007,All Causes,All causes,AR,28191,2679733,0.010520077933137
2006,All Causes,All causes,AR,27901,2679733,0.01041185819632
2005,All Causes,All causes,AR,28055,2679733,0.010469326608285
2004,All Causes,All causes,AR,27528,2679733,0.010272665224483
2003,All Causes,All causes,AR,27918,2679733,0.010418202111927
2002,All Causes,All causes,AR,28513,2679733,0.010640239158155
2001,All Causes,All causes,AR,27759,2679733,0.010358867842431
2000,All Causes,All causes,AR,28217,2679733,0.0105297803923
1999,All Causes,All causes,AR,27925,2679733,0.010420814312471
2016,All Causes,All causes,CA,262240,37341989,0.007022657523679
2015,All Causes,All causes,CA,259206,37341989,0.006941408503977
2014,All Causes,All causes,CA,245929,37341989,0.006585857009384
2013,All Causes,All causes,CA,248359,37341989,0.006650931207762
2012,All Causes,All causes,CA,242554,37341989,0.006495476178304
2011,All Causes,All causes,CA,239942,37341989,0.006425528109925
2010,All Causes,All causes,CA,234012,37341989,0.006266725642279
2009,All Causes,All causes,CA,232736,33930798,0.006859137235735
2008,All Causes,All causes,CA,234766,33930798,0.006918964888477
2007,All Causes,All causes,CA,233720,33930798,0.006888137437852
2006,All Causes,All causes,CA,237126,33930798,0.006988518218758
2005,All Causes,All causes,CA,237037,33930798,0.006985895232997
2004,All Causes,All causes,CA,232525,33930798,0.00685291869646
2003,All Causes,All causes,CA,239371,33930798,0.007054682297776
2002,All Causes,All causes,CA,234565,33930798,0.006913041066703
2001,All Causes,All causes,CA,234044,33930798,0.006897686284891
2000,All Causes,All causes,CA,229551,33930798,0.006765269711605
1999,All Causes,All causes,CA,229380,33930798,0.006760230042335
2016,All Causes,All causes,CO,37530,5044930,0.007439151782086
2015,All Causes,All causes,CO,36349,5044930,0.007205055372423
2014,All Causes,All causes,CO,35237,5044930,0.006984636060362
2013,All Causes,All causes,CO,33712,5044930,0.0066823523815
2012,All Causes,All causes,CO,33133,5044930,0.006567583692935
2011,All Causes,All causes,CO,32563,5044930,0.006454598973623
2010,All Causes,All causes,CO,31465,5044930,0.006236954724843
2009,All Causes,All causes,CO,31173,4311882,0.007229557766191
2008,All Causes,All causes,CO,31274,4311882,0.007252981412757
2007,All Causes,All causes,CO,29993,4311882,0.006955895360773
2006,All Causes,All causes,CO,29521,4311882,0.006846430398606
2005,All Causes,All causes,CO,29627,4311882,0.006871013631635
2004,All Causes,All causes,CO,28309,4311882,0.00656534663982
2003,All Causes,All causes,CO,29506,4311882,0.006842951639215
2002,All Causes,All causes,CO,29210,4311882,0.006774304120567
2001,All Causes,All causes,CO,28294,4311882,0.006561867880429
2000,All Causes,All causes,CO,27288,4311882,0.006328559083945
1999,All Causes,All causes,CO,27114,4311882,0.006288205475011
2016,All Causes,All causes,CT,30543,3581628,0.008527686292379
2015,All Causes,All causes,CT,30535,3581628,0.008525452671243
2014,All Causes,All causes,CT,29860,3581628,0.008336990887943
2013,All Causes,All causes,CT,29632,3581628,0.008273332685583
2012,All Causes,All causes,CT,29316,3581628,0.008185104650734
2011,All Causes,All causes,CT,29526,3581628,0.008243737205539
2010,All Causes,All causes,CT,28692,3581628,0.008010882202172
2009,All Causes,All causes,CT,28585,3409535,0.008383841198287
2008,All Causes,All causes,CT,28794,3409535,0.008445139879778
2007,All Causes,All causes,CT,28651,3409535,0.008403198676652
2006,All Causes,All causes,CT,29260,3409535,0.008581815408846
2005,All Causes,All causes,CT,29467,3409535,0.008642527500084
2004,All Causes,All causes,CT,29314,3409535,0.008597653345691
2003,All Causes,All causes,CT,29627,3409535,0.008689454720365
2002,All Causes,All causes,CT,30122,3409535,0.008834635808109
2001,All Causes,All causes,CT,29827,3409535,0.008748113745716
2000,All Causes,All causes,CT,30129,3409535,0.008836688873996
1999,All Causes,All causes,CT,29446,3409535,0.008636368302422
2016,All Causes,All causes,DE,8874,900877,0.009850401331147
2015,All Causes,All causes,DE,8582,900877,0.009526272732016
2014,All Causes,All causes,DE,8260,900877,0.009168843249411
2013,All Causes,All causes,DE,7967,900877,0.008843604620831
2012,All Causes,All causes,DE,7875,900877,0.008741481911515
2011,All Causes,All causes,DE,7845,900877,0.008708181028043
2010,All Causes,All causes,DE,7706,900877,0.00855388693462
2009,All Causes,All causes,DE,7534,785068,0.009596620929652
2008,All Causes,All causes,DE,7622,785068,0.009708713130582
2007,All Causes,All causes,DE,7327,785068,0.009332949502463
2006,All Causes,All causes,DE,7204,785068,0.009176275176163
2005,All Causes,All causes,DE,7472,785068,0.009517646878996
2004,All Causes,All causes,DE,7143,785068,0.009098574900518
2003,All Causes,All causes,DE,7070,785068,0.009005589324746
2002,All Causes,All causes,DE,6861,785068,0.008739370347537
2001,All Causes,All causes,DE,7112,785068,0.00905908787519
2000,All Causes,All causes,DE,6875,785068,0.008757203197685
1999,All Causes,All causes,DE,6666,785068,0.008490984220475
2016,All Causes,All causes,DC,5037,601723,0.008370961389211
2015,All Causes,All causes,DC,4871,601723,0.008095086941998
2014,All Causes,All causes,DC,4723,601723,0.007849126591472
2013,All Causes,All causes,DC,4719,601723,0.00784247901443
2012,All Causes,All causes,DC,4650,601723,0.007727808310468
2011,All Causes,All causes,DC,4589,601723,0.007626432760589
2010,All Causes,All causes,DC,4672,601723,0.007764369984195
2009,All Causes,All causes,DC,4834,572059,0.008450177341848
2008,All Causes,All causes,DC,5140,572059,0.008985087202544
2007,All Causes,All causes,DC,5188,572059,0.009068994631673
2006,All Causes,All causes,DC,5344,572059,0.009341693776341
2005,All Causes,All causes,DC,5483,572059,0.009584675706527
2004,All Causes,All causes,DC,5454,572059,0.009533981634761
2003,All Causes,All causes,DC,5573,572059,0.009742002136143
2002,All Causes,All causes,DC,5851,572059,0.010227965996514
2001,All Causes,All causes,DC,5951,572059,0.010402773140533
2000,All Causes,All causes,DC,6001,572059,0.010490176712542
1999,All Causes,All causes,DC,6076,572059,0.010621282070556
2016,All Causes,All causes,FL,197313,18900773,0.01043941430332
2015,All Causes,All causes,FL,191737,18900773,0.010144399914226
2014,All Causes,All causes,FL,185956,18900773,0.009838539407886
2013,All Causes,All causes,FL,181112,18900773,0.009582253593544
2012,All Causes,All causes,FL,177291,18900773,0.009380092549654
2011,All Causes,All causes,FL,173976,18900773,0.009204702897601
2010,All Causes,All causes,FL,173791,18900773,0.009194914938135
2009,All Causes,All causes,FL,169924,16028890,0.010601108373693
2008,All Causes,All causes,FL,170703,16028890,0.010649708120775
2007,All Causes,All causes,FL,168096,16028890,0.010487064294533
2006,All Causes,All causes,FL,170066,16028890,0.010609967377654
2005,All Causes,All causes,FL,170791,16028890,0.010655198207736
2004,All Causes,All causes,FL,169008,16028890,0.010543961559409
2003,All Causes,All causes,FL,168657,16028890,0.010522063598914
2002,All Causes,All causes,FL,167814,16028890,0.010469471061315
2001,All Causes,All causes,FL,167269,16028890,0.010435469954563
2000,All Causes,All causes,FL,164395,16028890,0.010256168705381
1999,All Causes,All causes,FL,163224,16028890,0.010183113116379
2016,All Causes,All causes,GA,81428,9727566,0.00837085042651
2015,All Causes,All causes,GA,79942,9727566,0.008218088677065
2014,All Causes,All causes,GA,76887,9727566,0.007904032725144
2013,All Causes,All causes,GA,75088,9727566,0.007719094375715
2012,All Causes,All causes,GA,72847,9727566,0.007488718143881
2011,All Causes,All causes,GA,71248,9727566,0.007324339922237
2010,All Causes,All causes,GA,71263,9727566,0.007325881931821
2009,All Causes,All causes,GA,69712,8206975,0.008494238132808
2008,All Causes,All causes,GA,69640,8206975,0.008485465107424
2007,All Causes,All causes,GA,68331,8206975,0.008325966632042
2006,All Causes,All causes,GA,67808,8206975,0.008262240350434
2005,All Causes,All causes,GA,66736,8206975,0.008131619750273
2004,All Causes,All causes,GA,65818,8206975,0.008019763676629
2003,All Causes,All causes,GA,66478,8206975,0.008100183075981
2002,All Causes,All causes,GA,65449,8206975,0.007974801921536
2001,All Causes,All causes,GA,64485,8206975,0.007857340859452
2000,All Causes,All causes,GA,63870,8206975,0.007782404600964
1999,All Causes,All causes,GA,62028,8206975,0.007557961368226
2016,All Causes,All causes,HI,10913,1366862,0.007983980826155
2015,All Causes,All causes,HI,11053,1366862,0.008086405211353
2014,All Causes,All causes,HI,10767,1366862,0.007877166824449
2013,All Causes,All causes,HI,10505,1366862,0.007685486903579
2012,All Causes,All causes,HI,10274,1366862,0.007516486668003
2011,All Causes,All causes,HI,9923,1366862,0.007259694102258
2010,All Causes,All causes,HI,9617,1366862,0.007035823660326
2009,All Causes,All causes,HI,9914,1216642,0.008148658356361
2008,All Causes,All causes,HI,9501,1216642,0.007809199419385
2007,All Causes,All causes,HI,9495,1216642,0.007804267812553
2006,All Causes,All causes,HI,9432,1216642,0.007752485940811
2005,All Causes,All causes,HI,9136,1216642,0.00750919333707
2004,All Causes,All causes,HI,9030,1216642,0.007422068283028
2003,All Causes,All causes,HI,8978,1216642,0.007379327690479
2002,All Causes,All causes,HI,8801,1216642,0.007233845288918
2001,All Causes,All causes,HI,8394,1216642,0.006899317958775
2000,All Causes,All causes,HI,8290,1216642,0.006813836773677
1999,All Causes,All causes,HI,8270,1216642,0.006797398084235
2016,All Causes,All causes,ID,13366,1573499,0.008494444546835
2015,All Causes,All causes,ID,13026,1573499,0.0082783656043
2014,All Causes,All causes,ID,12613,1573499,0.00801589324175
2013,All Causes,All causes,ID,12434,1573499,0.007902134033768
2012,All Causes,All causes,ID,11998,1573499,0.007625044566282
2011,All Causes,All causes,ID,12027,1573499,0.007643474829028
2010,All Causes,All causes,ID,11429,1573499,0.007263430100686
2009,All Causes,All causes,ID,11098,1297274,0.008554861964396
2008,All Causes,All causes,ID,10962,1297274,0.008450026748397
2007,All Causes,All causes,ID,10822,1297274,0.008342108143692
2006,All Causes,All causes,ID,10613,1297274,0.008181001083811
2005,All Causes,All causes,ID,10556,1297274,0.008137062794753
2004,All Causes,All causes,ID,10028,1297274,0.00773005548558
2003,All Causes,All causes,ID,10380,1297274,0.008001393691695
2002,All Causes,All causes,ID,9923,1297274,0.007649116532051
2001,All Causes,All causes,ID,9753,1297274,0.007518072512052
2000,All Causes,All causes,ID,9563,1297274,0.007371611548524
1999,All Causes,All causes,ID,9579,1297274,0.007383945103347
2016,All Causes,All causes,IL,107020,12864380,0.008319095051608
2015,All Causes,All causes,IL,106872,12864380,0.008307590416328
2014,All Causes,All causes,IL,105293,12864380,0.008184848395337
2013,All Causes,All causes,IL,103401,12864380,0.008037775625409
2012,All Causes,All causes,IL,102433,12864380,0.007962529091958
2011,All Causes,All causes,IL,101906,12864380,0.007921563262279
2010,All Causes,All causes,IL,99931,12864380,0.007768038568512
2009,All Causes,All causes,IL,100056,12439042,0.008043706259694
2008,All Causes,All causes,IL,103471,12439042,0.00831824508672
2007,All Causes,All causes,IL,100503,12439042,0.008079641502939
2006,All Causes,All causes,IL,102171,12439042,0.008213735430751
2005,All Causes,All causes,IL,103974,12439042,0.008358682284375
2004,All Causes,All causes,IL,102670,12439042,0.008253851060234
2003,All Causes,All causes,IL,105325,12439042,0.00846729193454
2002,All Causes,All causes,IL,106667,12439042,0.008575178056317
2001,All Causes,All causes,IL,105430,12439042,0.00847573309906
2000,All Causes,All causes,IL,106634,12439042,0.008572525118896
1999,All Causes,All causes,IL,108436,12439042,0.008717391580477
2016,All Causes,All causes,IN,63473,6501582,0.00976270083189
2015,All Causes,All causes,IN,62713,6501582,0.00964580620532
2014,All Causes,All causes,IN,60940,6501582,0.009373103346232
2013,All Causes,All causes,IN,60716,6501582,0.009338650193138
2012,All Causes,All causes,IN,59332,6501582,0.009125778925806
2011,All Causes,All causes,IN,58202,6501582,0.008951975073144
2010,All Causes,All causes,IN,56743,6501582,0.008727568151874
2009,All Causes,All causes,IN,55973,6090782,0.00918978876604
2008,All Causes,All causes,IN,56752,6090782,0.00931768695711
2007,All Causes,All causes,IN,54000,6090782,0.008865856633844
2006,All Causes,All causes,IN,55622,6090782,0.00913216069792
2005,All Causes,All causes,IN,55675,6090782,0.009140862372024
2004,All Causes,All causes,IN,54211,6090782,0.008900499147728
2003,All Causes,All causes,IN,55968,6090782,0.009188967853389
2002,All Causes,All causes,IN,55396,6090782,0.009095055446082
2001,All Causes,All causes,IN,55198,6090782,0.009062547305092
2000,All Causes,All causes,IN,55469,6090782,0.009107040770791
1999,All Causes,All causes,IN,55303,6090782,0.009079786470768
2016,All Causes,All causes,IA,29538,3053787,0.009672580307664
2015,All Causes,All causes,IA,29600,3053787,0.009692882967935
2014,All Causes,All causes,IA,29190,3053787,0.009558623440338
2013,All Causes,All causes,IA,28948,3053787,0.00947937757283
2012,All Causes,All causes,IA,28389,3053787,0.009296326168132
2011,All Causes,All causes,IA,28184,3053787,0.009229196404333
2010,All Causes,All causes,IA,27745,3053787,0.009085440471127
2009,All Causes,All causes,IA,27544,2931923,0.009394516840995
2008,All Causes,All causes,IA,28541,2931923,0.009734566699057
2007,All Causes,All causes,IA,27221,2931923,0.009284350237029
2006,All Causes,All causes,IA,27362,2931923,0.009332441540927
2005,All Causes,All causes,IA,27811,2931923,0.009485583352632
2004,All Causes,All causes,IA,26897,2931923,0.009173842559985
2003,All Causes,All causes,IA,28062,2931923,0.009571192695033
2002,All Causes,All causes,IA,27978,2931923,0.009542542556541
2001,All Causes,All causes,IA,27791,2931923,0.009478761891087
2000,All Causes,All causes,IA,28060,2931923,0.009570510548879
1999,All Causes,All causes,IA,28411,2931923,0.009690227199009
2016,All Causes,All causes,KS,26245,2863813,0.009164355354208
2015,All Causes,All causes,KS,26664,2863813,0.009310663789849
2014,All Causes,All causes,KS,25793,2863813,0.009006523819816
2013,All Causes,All causes,KS,25414,2863813,0.008874182776599
2012,All Causes,All causes,KS,25145,2863813,0.008780252062547
2011,All Causes,All causes,KS,25116,2863813,0.00877012570304
2010,All Causes,All causes,KS,24502,2863813,0.008555726229331
2009,All Causes,All causes,KS,24024,2693824,0.008918177282554
2008,All Causes,All causes,KS,24975,2693824,0.009271207027631
2007,All Causes,All causes,KS,24491,2693824,0.009091536789337
2006,All Causes,All causes,KS,24553,2693824,0.009114552398375
2005,All Causes,All causes,KS,24682,2693824,0.009162439713953
2004,All Causes,All causes,KS,23818,2693824,0.00884170606543
2003,All Causes,All causes,KS,24593,2693824,0.009129401178399
2002,All Causes,All causes,KS,25021,2693824,0.009288283124658
2001,All Causes,All causes,KS,24647,2693824,0.009149447031432
2000,All Causes,All causes,KS,24717,2693824,0.009175432396474
1999,All Causes,All causes,KS,24472,2693824,0.009084483618826
2016,All Causes,All causes,KY,47827,4350606,0.010993181179817
2015,All Causes,All causes,KY,46564,4350606,0.010702876794635
2014,All Causes,All causes,KY,44838,4350606,0.010306150453523
2013,All Causes,All causes,KY,43759,4350606,0.010058139027069
2012,All Causes,All causes,KY,43664,4350606,0.010036302988595
2011,All Causes,All causes,KY,42626,4350606,0.00979771553664
2010,All Causes,All causes,KY,41983,4350606,0.009649920034129
2009,All Causes,All causes,KY,41380,4049431,0.010218719617645
2008,All Causes,All causes,KY,41329,4049431,0.010206125255622
2007,All Causes,All causes,KY,40090,4049431,0.009900156342953
2006,All Causes,All causes,KY,40102,4049431,0.009903119722252
2005,All Causes,All causes,KY,40223,4049431,0.009933000463522
2004,All Causes,All causes,KY,38646,4049431,0.009543563033918
2003,All Causes,All causes,KY,40241,4049431,0.009937445532471
2002,All Causes,All causes,KY,40697,4049431,0.010050053945851
2001,All Causes,All causes,KY,39861,4049431,0.009843605187988
2000,All Causes,All causes,KY,39504,4049431,0.009755444653829
1999,All Causes,All causes,KY,39321,4049431,0.009710253119512
2016,All Causes,All causes,LA,44306,4553962,0.009729110607423
2015,All Causes,All causes,LA,43716,4553962,0.00959955309245
2014,All Causes,All causes,LA,43869,4553962,0.00963315021074
2013,All Causes,All causes,LA,43270,4553962,0.009501616394691
2012,All Causes,All causes,LA,42320,4553962,0.009293006836684
2011,All Causes,All causes,LA,40890,4553962,0.008978994554632
2010,All Causes,All causes,LA,40667,4553962,0.008930026205752
2009,All Causes,All causes,LA,40282,4480271,0.008990973983493
2008,All Causes,All causes,LA,41220,4480271,0.009200336318941
2007,All Causes,All causes,LA,39966,4480271,0.008920442535731
2006,All Causes,All causes,LA,40045,4480271,0.008938075397671
2005,All Causes,All causes,LA,44355,4480271,0.009900070776969
2004,All Causes,All causes,LA,42215,4480271,0.009422421099081
2003,All Causes,All causes,LA,42719,4480271,0.009534914294247
2002,All Causes,All causes,LA,41984,4480271,0.009370861717963
2001,All Causes,All causes,LA,41757,4480271,0.009320195139981
2000,All Causes,All causes,LA,41138,4480271,0.009182033854649
1999,All Causes,All causes,LA,41238,4480271,0.009204353933055
2016,All Causes,All causes,ME,14182,1333074,0.01063856920171
2015,All Causes,All causes,ME,14479,1333074,0.010861362535013
2014,All Causes,All causes,ME,13510,1333074,0.01013447115464
2013,All Causes,All causes,ME,13547,1333074,0.010162226553065
2012,All Causes,All causes,ME,12870,1333074,0.009654377776478
2011,All Causes,All causes,ME,13001,1333074,0.00975264688982
2010,All Causes,All causes,ME,12750,1333074,0.009564360268072
2009,All Causes,All causes,ME,12594,1333074,0.009447337507145
2008,All Causes,All causes,ME,12541,1277731,0.009815054968534
2007,All Causes,All causes,ME,12493,1277731,0.009777488375879
2006,All Causes,All causes,ME,12294,1277731,0.009621743543829
2005,All Causes,All causes,ME,12868,1277731,0.010070977380998
2004,All Causes,All causes,ME,12443,1277731,0.00973835650853
2003,All Causes,All causes,ME,12540,1277731,0.009814272331187
2002,All Causes,All causes,ME,12694,1277731,0.009934798482623
2001,All Causes,All causes,ME,12421,1277731,0.009721138486896
2000,All Causes,All causes,ME,12354,1277731,0.009668701784648
1999,All Causes,All causes,ME,12261,1277731,0.009595916511378
2016,All Causes,All causes,MD,48824,5789929,0.008432573180086
2015,All Causes,All causes,MD,47247,5789929,0.008160203691617
2014,All Causes,All causes,MD,45867,5789929,0.007921858799996
2013,All Causes,All causes,MD,45689,5789929,0.00789111576325
2012,All Causes,All causes,MD,44477,5789929,0.007681786771479
2011,All Causes,All causes,MD,43745,5789929,0.007555360350706
2010,All Causes,All causes,MD,43325,5789929,0.007482820601082
2009,All Causes,All causes,MD,43843,5307886,0.008259973933125
2008,All Causes,All causes,MD,43892,5307886,0.008269205480299
2007,All Causes,All causes,MD,43757,5307886,0.008243771625841
2006,All Causes,All causes,MD,43582,5307886,0.008210801814508
2005,All Causes,All causes,MD,43892,5307886,0.008269205480299
2004,All Causes,All causes,MD,43232,5307886,0.008144862191841
2003,All Causes,All causes,MD,44499,5307886,0.008383563625896
2002,All Causes,All causes,MD,43970,5307886,0.008283900596207
2001,All Causes,All causes,MD,43839,5307886,0.008259220337438
2000,All Causes,All causes,MD,43753,5307886,0.008243018030154
1999,All Causes,All causes,MD,43089,5307886,0.008117921146008
2016,All Causes,All causes,MA,56961,6559644,0.008683550509753
2015,All Causes,All causes,MA,57806,6559644,0.008812368476094
2014,All Causes,All causes,MA,55200,6559644,0.008415090818953
2013,All Causes,All causes,MA,54567,6559644,0.00831859167967
2012,All Causes,All causes,MA,53177,6559644,0.008106689936222
2011,All Causes,All causes,MA,53710,6559644,0.00818794434576
2010,All Causes,All causes,MA,52583,6559644,0.00801613624154
2009,All Causes,All causes,MA,52308,6355568,0.008230263605078
2008,All Causes,All causes,MA,53518,6355568,0.008420647847683
2007,All Causes,All causes,MA,52917,6355568,0.008326085095777
2006,All Causes,All causes,MA,53450,6355568,0.008409948567933
2005,All Causes,All causes,MA,53874,6355568,0.008476661724019
2004,All Causes,All causes,MA,54511,6355568,0.008576888800497
2003,All Causes,All causes,MA,56291,6355568,0.00885695818218
2002,All Causes,All causes,MA,56928,6355568,0.008957185258658
2001,All Causes,All causes,MA,56754,6355568,0.008929807689887
2000,All Causes,All causes,MA,56681,6355568,0.008918321698391
1999,All Causes,All causes,MA,55840,6355568,0.008785996782664
2016,All Causes,All causes,MI,96231,9911626,0.009708901445636
2015,All Causes,All causes,MI,95140,9911626,0.009598828688653
2014,All Causes,All causes,MI,93914,9911626,0.009475135563025
2013,All Causes,All causes,MI,92408,9911626,0.009323192783909
2012,All Causes,All causes,MI,89901,9911626,0.009070257493574
2011,All Causes,All causes,MI,89508,9911626,0.009030607087071
2010,All Causes,All causes,MI,88021,9911626,0.008880581248728
2009,All Causes,All causes,MI,86455,9955829,0.008683857466817
2008,All Causes,All causes,MI,88445,9955829,0.008883740369587
2007,All Causes,All causes,MI,86721,9955829,0.008710575482966
2006,All Causes,All causes,MI,86042,9955829,0.008642374231217
2005,All Causes,All causes,MI,86867,9955829,0.008725240258747
2004,All Causes,All causes,MI,85169,9955829,0.008554686907539
2003,All Causes,All causes,MI,86728,9955829,0.008711278588654
2002,All Causes,All causes,MI,87795,9955829,0.00881845198426
2001,All Causes,All causes,MI,86424,9955829,0.008680743713055
2000,All Causes,All causes,MI,86953,9955829,0.008733878414344
1999,All Causes,All causes,MI,87232,9955829,0.0087619021982
2016,All Causes,All causes,MN,43078,5314879,0.008105170409336
2015,All Causes,All causes,MN,42800,5314879,0.008052864420808
2014,All Causes,All causes,MN,41445,5314879,0.007797919764495
2013,All Causes,All causes,MN,40987,5314879,0.007711746589151
2012,All Causes,All causes,MN,40016,5314879,0.00752905193138
2011,All Causes,All causes,MN,39820,5314879,0.007492174327957
2010,All Causes,All causes,MN,38972,5314879,0.007332622247844
2009,All Causes,All causes,MN,37851,4925670,0.007684436838034
2008,All Causes,All causes,MN,38499,4925670,0.007815992545177
2007,All Causes,All causes,MN,37138,4925670,0.007539684956564
2006,All Causes,All causes,MN,37028,4925670,0.007517352969241
2005,All Causes,All causes,MN,37535,4925670,0.007620283128996
2004,All Causes,All causes,MN,37034,4925670,0.00751857107764
2003,All Causes,All causes,MN,37620,4925670,0.007637539664655
2002,All Causes,All causes,MN,38510,4925670,0.007818225743909
2001,All Causes,All causes,MN,37735,4925670,0.007660886742311
2000,All Causes,All causes,MN,37690,4925670,0.007651750929315
1999,All Causes,All causes,MN,38537,4925670,0.007823707231707
2016,All Causes,All causes,MS,31741,2978240,0.010657636725046
2015,All Causes,All causes,MS,31783,2978240,0.010671739013646
2014,All Causes,All causes,MS,30557,2978240,0.010260086494037
2013,All Causes,All causes,MS,30703,2978240,0.010309108735361
2012,All Causes,All causes,MS,29544,2978240,0.009919952723756
2011,All Causes,All causes,MS,29278,2978240,0.00983063822929
2010,All Causes,All causes,MS,28965,2978240,0.009725542602342
2009,All Causes,All causes,MS,28275,2852927,0.009910873990116
2008,All Causes,All causes,MS,28984,2852927,0.010159390688931
2007,All Causes,All causes,MS,28255,2852927,0.009903863646003
2006,All Causes,All causes,MS,28564,2852927,0.010012173462553
